label,size,kernel,variant,med_ns_per_cell,min_ns_per_cell
base_r2,48x48x48,smooth_l1,untiled,28.681016710069443,27.73725947627315
base_r2,48x48x48,smooth_l1,tiled,21.487309208622687,20.53422489872685
base_r2,24x24x24,smooth_l2,untiled,25.03515625,22.81423611111111
base_r2,24x24x24,smooth_l2,tiled,19.868055555555557,18.515986689814813
base_r2,12x12x12,smooth_l3,untiled,22.058449074074073,21.44502314814815
base_r2,12x12x12,smooth_l3,tiled,22.74710648148148,22.37210648148148
base_r2,129x97x97,rk_stage,irs,33.463147481282554,32.982300652398
base_r2,129x97x97,rk_stage,noirs,30.672624376085068,29.906214396158855
base_r2,64x48x48,smooth_l1,untiled,29.965352376302082,28.369737413194443
base_r2,64x48x48,smooth_l1,tiled,23.38309054904514,21.29153781467014
base_r2,32x24x24,smooth_l2,untiled,27.203260633680557,25.09271918402778
base_r2,32x24x24,smooth_l2,tiled,20.066324869791668,18.44677734375
base_r2,16x12x12,smooth_l3,untiled,23.340711805555557,19.53472222222222
base_r2,16x12x12,smooth_l3,tiled,22.563368055555557,22.4140625
